,source,link,title
0,NDTV,https://sports.ndtv.com/cricket/unmukt-chand-bids-adieu-to-indian-cricket-at-28-says-on-to-the-next-innings-2509853,"""On To Next Innings"": Unmukt Chand, 28, ""Bids Adieu"" To Indian Cricket"
1,NDTV,https://sports.ndtv.com/cricket/vijay-hazare-trophy-pradeep-sangwan-to-lead-22-member-delhi-squad-2369531,Vijay Hazare Trophy: Pradeep Sangwan To Lead 22-Member Delhi Squad
2,NDTV,https://sports.ndtv.com/cricket/vijay-hazare-trophy-delhi-win-bengal-kerala-play-out-thriller-1809926,"Vijay Hazare Trophy: Delhi Win, Bengal, Kerala Play Out Thriller"
3,NDTV,https://www.ndtv.com/world-news/taliban-tighten-grip-on-afghanistan-as-all-eyes-turn-to-capital-kabul-2509964,Taliban Tighten Grip On Afghanistan As All Eyes Turn To Capital Kabul
4,NDTV,https://www.ndtv.com/world-news/taliban-tame-the-lion-of-herat-capture-his-afghan-city-2509948,"Taliban Tame The ""Lion Of Herat"", Capture His Afghan City"
5,NDTV,https://www.ndtv.com/india-news/danish-siddiqui-didnt-seek-our-nod-killed-in-crossfire-taliban-to-ndtv-2509815,Photojournalist Danish Siddiqui Didn't Seek Our Nod: Taliban To NDTV
6,NDTV,https://sports.ndtv.com/cricket/west-indies-vs-pakistan-dwayne-bravo-plays-his-last-international-game-on-caribbean-soil-2501931,WI vs PAK: Dwayne Bravo Plays His Last International Game On Caribbean Soil
7,NDTV,https://sports.ndtv.com/cricket/west-indies-vs-pakistan-2nd-t20i-pakistan-defy-rampant-nicholas-pooran-to-edge-west-indies-by-seven-runs-2499790,"West Indies vs Pakistan, 2nd T20I: Pakistan Defy Rampant Nicholas Pooran To Edge West Indies By Seven Runs"
8,NDTV,https://sports.ndtv.com/cricket/wi-vs-pak-live-cricket-score-icc-cricket-world-cup-2045907,"West Indies vs Pakistan Highlights, Cricket World Cup 2019: Pakistan Lose To West Indies By 7 Wickets"
9,NDTV,https://sports.ndtv.com/football/thomas-tuchel-expects-big-impact-from-romelu-lukaku-in-second-chance-at-chelsea-2509945,"Premier League: Thomas Tuchel Expects ""Big Impact"" From Romelu Lukaku In Second Chance At Chelsea"
10,NDTV,https://sports.ndtv.com/football/virgil-van-dijk-signs-new-liverpool-long-term-contract-2509694,Virgil Van Dijk Signs New Liverpool Long-Term Contract
11,NDTV,https://sports.ndtv.com/cricket/ms-dhoni-other-chennai-super-kings-players-depart-for-dubai-for-ipl-2021-see-pics-2509616,"""Get Ready Folks"": MS Dhoni, Other Chennai Super Kings Players Depart For Dubai For IPL 2021. See Pics"
12,NDTV,https://www.ndtv.com/world-news/international-left-handers-day-2021-here-are-10-interesting-facts-that-make-left-handers-unique-2509412,International Left-Handers Day 2021: 10 Interesting Facts That Make Left-Handers Unique
13,NDTV,https://swirlster.ndtv.com/style/happy-birthday-sridevi-remembering-bollywoods-og-style-diva-on-her-58th-birthday-2509696,Remembering Sridevi As The Eternal Style Diva On Her 58th Birth Anniversary
14,NDTV,https://www.ndtv.com/entertainment/everything-is-for-you-janhvi-kapoor-posts-childhood-memory-of-mom-sridevi-on-her-birth-anniversary-2509391,"""Everything Is For You"": Janhvi Kapoor Posts Childhood Memory Of Mom Sridevi On Her Birth Anniversary"
15,NDTV,https://www.ndtv.com/entertainment/a-sridevi-memory-from-khushi-kapoors-album-the-coolest-she-captioned-this-2489891,"A Sridevi Memory From Khushi Kapoor's Album. ""The Coolest,"" She Captioned This"
16,NDTV,https://swirlster.ndtv.com/style/radhika-aptes-cut-out-white-midi-dress-is-the-most-chic-dress-code-for-hot-days-2509813,Radhika Apte's Cut-Out White Midi Dress Is The Most Chic Dress Code For Hot Days
17,NDTV,https://gadgets.ndtv.com/entertainment/guide/best-hindi-movies-on-amazon-prime-2507846,Best Hindi Movies on Amazon Prime Video [August 2021]
18,NDTV,https://gadgets.ndtv.com/entertainment/guide/best-hindi-movies-on-netflix-2502583,Best Hindi Movies on Netflix [August 2021]
19,NDTV,https://swirlster.ndtv.com/style/kangana-ranaut-in-a-white-lace-corset-and-layered-gold-necklaces-gives-us-those-fabulous-friday-feels-2509400,Kangana Ranaut In A White Lace Corset And Layered Gold Necklaces Gives Us Those Fabulous Friday Feels
20,NDTV,https://www.ndtv.com/india-news/court-gives-kangana-ranaut-last-chance-for-exemption-in-javed-akhtar-defamation-case-2496149,"Court Gives Kangana Ranaut ""Last Chance"" For Exemption In Defamation Case"
21,NDTV,https://swirlster.ndtv.com/style/kangana-ranauts-style-diaries-from-budapest-include-this-chic-floral-mini-dress-2480577,Kangana Ranaut's Style Diaries From Budapest Include This Chic Floral Mini Dress
22,NDTV,https://sports.ndtv.com/football/thomas-tuchel-expects-big-impact-from-romelu-lukaku-in-second-chance-at-chelsea-2509945,"Premier League: Thomas Tuchel Expects ""Big Impact"" From Romelu Lukaku In Second Chance At Chelsea"
23,NDTV,https://sports.ndtv.com/football/romelu-lukaku-rejoins-chelsea-for-club-record-fee-from-inter-milan-2509180,Premier League: Romelu Lukaku Rejoins Chelsea For Club Record Fee From Inter Milan
24,NDTV,https://sports.ndtv.com/football/premier-league-chelseas-thomas-tuchel-tight-lipped-as-antonio-rudiger-welcomes-addition-of-beast-romelu-lukaku-2507488,"Thomas Tuchel Tight-Lipped As Antonio Rudiger Welcomes Addition Of ""Beast"" Romelu Lukaku"
25,NDTV,https://sports.ndtv.com/football/lionel-messi-signing-for-psg-a-possibility-2505653,"Signing For Paris Saint-Germain A ""Possibility"", Says Lionel Messi"
26,NDTV,https://sports.ndtv.com/football/lionel-messi-to-break-silence-on-barcelona-departure-as-psg-wait-2505403,Lionel Messi To Break Silence On Barcelona Departure As Paris Saint-Germain Wait
27,NDTV,https://sports.ndtv.com/football/lionel-messis-10-iconic-moments-at-barcelona-2504318,Lionel Messi's 10 Iconic Moments At Barcelona
28,NDTV,https://www.ndtv.com/india-news/your-time-starts-now-trinamool-congress-derek-obriens-friday-the-13th-post-targets-pm-2509712,"""Your Time Starts Now"": Derek O'Brien's ""Friday The 13th"" Post Targets PM"
29,NDTV,https://www.ndtv.com/offbeat/memes-go-viral-as-people-ward-off-bad-luck-on-friday-the-13th-2509485,Just Some Memes To Get You Through Friday The 13th
30,NDTV,https://www.ndtv.com/india-news/uttarakhand-glacier-burst-number-of-deaths-rise-to-62-as-1-more-body-recovered-2374492,Uttarakhand Glacier Burst: Deaths Rise To 62 As One More Body Recovered
31,NDTV,https://www.ndtv.com/india-news/odisha-man-bites-and-kills-snake-in-bizzare-revenge-case-2509216,Odisha Man Bites And Kills Snake In Bizzare Revenge Case
32,NDTV,https://www.ndtv.com/india-news/nag-panchami-2021-date-timings-puja-and-significance-2508744,"Nag Panchami 2021: Know About Date, Timings, Puja And Significance Of The Day"
33,NDTV,https://www.ndtv.com/cities/vadodara-10-foot-python-swallows-monkey-in-gujarat-rescued-from-river-2506763,"10-Foot Python Swallows Monkey In Gujarat, Rescued From River"
34,NDTV,https://www.ndtv.com/education/kcet-2021-admit-card-released-direct-link-here,KCET 2021 Admit Card Released; Direct Link Here
35,NDTV,https://www.ndtv.com/education/kcet-2021-admit-card-be-released-on-august-13-heres-how-download,KCET 2021 Admit Card To Be Released On August 13; Here’s How To Download
36,NDTV,https://www.ndtv.com/india-news/bpsc-topper-wants-to-break-vicious-cycle-of-unemployment-in-bihar-2458766,Bihar Man Who Topped Government Service Exam Says His Aim Is...
37,NDTV,https://www.ndtv.com/jobs/bpsc-cce-result-know-how-to-check-2458055,"1,454 Qualify For Bihar Administrative Service And Other Services"
38,NDTV,https://www.ndtv.com/jobs/bpsc-assistant-engineer-civil-interview-from-june-25-to-28-2456167,Bihar Assistant Engineer (Civil) Interview For Remaining Candidates From June 25
39,NDTV,https://www.carandbike.com/news/indian-automotive-industry-reacts-to-the-launch-of-the-voluntary-scrappage-policy-2509892,Indian Automotive Industry Reacts To The Launch Of The Voluntary Scrappage Policy
40,NDTV,https://www.carandbike.com/hindi/tata-motors-partners-with-gujarat-government-to-set-up-vehicle-scrapping-facility-in-ahmedabad-news-2509789,टाटा मोटर्स ने अहमदाबाद में वाहन स्क्रैपिंग सुविधा लगाने के लिए गुजरात सरकार के साथ साझेदारी की
41,NDTV,https://www.carandbike.com/news/tata-motors-partners-with-gujarat-government-to-set-up-vehicle-scrapping-facility-in-ahmedabad-2509772,Tata Motors Partners With Gujarat Government To Set Up Vehicle Scrapping Facility In Ahmedabad
42,NDTV,https://www.ndtv.com/world-news/britney-spears-father-to-step-down-as-estate-conservator-reports-2509239,"Britney Spears' Father ""To Step Down"" As Estate Conservator: Reports"
43,NDTV,https://www.ndtv.com/world-news/britney-spears-wants-father-to-be-immediately-replaced-as-guardian-report-2504328,Britney Spears Wants Father To Be Immediately Replaced As Guardian: Report
44,NDTV,https://www.ndtv.com/world-news/cruelty-britney-spears-files-plea-to-replace-her-father-jamie-spears-in-conservatorship-2495528,"""Cruelty"": Britney Spears Files Plea To Replace Her Father In Conservatorship"
45,NDTV,https://sports.ndtv.com/cricket/england-vs-india-2nd-test-two-wickets-in-first-2-overs-of-the-day-indias-nightmare-start-watch-2509828,"Watch: India Lose KL Rahul, Ajinkya Rahane In Nightmare Start On Day 2"
46,NDTV,https://sports.ndtv.com/cricket/eng-vs-ind-england-vs-india-2nd-test-match-day-2-live-cricket-updates-2509619,"England vs India, 2nd Test, Day 2 Live Cricket Updates: Rory Burns, Joe Root Steady England After Early Wickets"
47,NDTV,https://sports.ndtv.com/cricket/eng-vs-ind-2nd-test-its-the-best-i-have-seen-kl-rahul-bat-says-rohit-sharma-2509510,"England vs India, 2nd Test: ""Best I Have Seen KL Rahul Bat,"" Says Rohit Sharma"
48,NDTV,https://www.ndtv.com/india-news/nag-panchami-2021-date-timings-puja-and-significance-2508744,"Nag Panchami 2021: Know About Date, Timings, Puja And Significance Of The Day"
49,NDTV,https://www.ndtv.com/india-news/nag-panchami-today-know-all-about-the-festival-dedicated-to-lord-shiva-and-the-snake-gods-2268564,Nag Panchami: Know Why The Day Is Important For Devotees Of Lord Shiva
50,NDTV,https://food.ndtv.com/food-drinks/nag-panchami-2020-date-significance-of-fasting-or-vrat-and-pooja-timings-2268517,"Nag Panchami 2020: Date, Significance Of Fasting Or Vrat And Pooja Timings "
51,Times Of India,https://www.hindustantimes.com//entertainment/tamil-cinema/netrikann-review-nayanthara-manages-to-shine-in-this-too-safe-adaptation-of-korean-thriller-101628856052022.html,"

Netrikann review: Nayanthara shines in a safe adaptation of Korean thriller

"
52,Times Of India,https://www.hindustantimes.com//entertainment/tamil-cinema/before-netrikann-a-look-at-films-like-imaikka-nodigal-aramm-that-helped-nayanthara-reinvent-herself-101628664226547.html,"

Before Netrikann, a look at five films that helped Nayanthara reinvent herself

"
53,Times Of India,https://www.hindustantimes.com//entertainment/tamil-cinema/nayanthara-confirms-she-s-engaged-to-vignesh-shivn-on-tamil-talk-show-watch-video-101628606045998.html,"

Nayanthara confirms she’s engaged to Vignesh Shivn on Tamil talk show, watch

"
54,Times Of India,https://www.hindustantimes.com//cricket/unmukt-chand-india-s-2012-u19-world-cup-winning-captain-retires-at-the-age-of-28-101628857109963.html,"

India's 2012 U19 World Cup-winning captain retires at the age of 28

"
55,Times Of India,https://www.hindustantimes.com//cricket/sangwan-to-lead-delhi-in-vijay-hazare-dhawan-also-in-squad-101613137083232.html,"

Sangwan to lead Delhi in Vijay Hazare, Dhawan also in squad

"
56,Times Of India,https://www.hindustantimes.com//cricket/felt-like-my-clothes-were-ripped-apart-unmukt-chand-on-delhi-and-ipl-snub/story-wiZux3nnjI6k2LAWVoKXGI.html,"

Felt like my clothes were ripped apart: Unmukt Chand on Delhi and IPL snub

"
57,Times Of India,https://www.hindustantimes.com//world-news/india-preps-for-rapid-evacuation-of-its-nationals-in-afghanistan-amid-taliban-blitz-101628873036460.html,"

India preps for rapid evacuation of nationals in Afghanistan amid Taliban blitz

"
58,Times Of India,https://www.hindustantimes.com//india-news/india-rubbishes-pakistan-foreign-minister-s-allegations-on-attack-that-killed-9-chinese-nationals-101628866434569.html,"

India rubbishes Pakistan foreign minister’s allegations on attack that killed 9 Chinese nationals

"
59,Times Of India,https://www.hindustantimes.com//world-news/taliban-ban-covid-jab-in-paktia-claims-report-video-of-them-partying-emerges-101628858699024.html,"

Taliban ban Covid jab in Paktia, claims report; Video of them partying emerges

"
60,Times Of India,https://www.hindustantimes.com//cricket/west-indies-recall-roston-chase-brooks-holder-and-rest-bravo-and-gabriel-101628751340541.html,"

West Indies recall Roston Chase, Brooks, Holder and rest Bravo and Gabriel

"
61,Times Of India,https://www.hindustantimes.com//cricket/wi-vs-pak-way-hafeez-bowled-in-powerplay-showed-his-experience-says-babar-101627809930771.html,"

WI vs Pak: Way Hafeez bowled in powerplay showed his experience, says Babar

"
62,Times Of India,https://www.hindustantimes.com//cricket/greatest-match-winner-india-ever-had-gautam-gambhir-hails-anil-kumble-on-22nd-anniversary-of-10-wickets-against-pakistan-101612692792785.html,"

'Greatest match-winner India ever had': Gambhir hails Kumble

"
63,Times Of India,https://www.hindustantimes.com//sports/football/spanish-league-gets-approval-for-multibillion-dollar-deal-101628837816600.html,"

Spanish league gets approval for multibillion-dollar deal

"
64,Times Of India,https://www.hindustantimes.com//sports/football/reborn-romelu-lukaku-returns-to-chelsea-at-peak-of-his-powers-101628821331823.html,"

Reborn Lukaku returns to Chelsea at peak of his powers

"
65,Times Of India,https://www.hindustantimes.com//sports/football/premier-league-leeds-united-manager-marcelo-bielsa-signs-contract-extension-101628821371726.html,"

Leeds manager Bielsa signs contract extension

"
66,Times Of India,https://www.hindustantimes.com//entertainment/tamil-cinema/netrikann-review-nayanthara-manages-to-shine-in-this-too-safe-adaptation-of-korean-thriller-101628856052022.html,"

Netrikann review: Nayanthara shines in a safe adaptation of Korean thriller

"
67,Times Of India,https://www.hindustantimes.com//world-news/international-lefthanders-day-2021-history-significance-and-all-you-need-to-know-101628832768990.html,"

International Lefthanders Day 2021: History, significance and all you need to know

"
68,Times Of India,https://www.hindustantimes.com//brunch/six-reasons-why-being-a-lefty-is-tough/story-CELHtEEqfQdBN8KPCF7EZP.html,"

International Lefthanders’ Day: 6 reasons why being a lefty is tough

"
69,Times Of India,https://www.hindustantimes.com//bollywood/international-lefthanders-day-the-list-of-popular-lefties-is-way-too-long/story-kLQATO9HMxZOxSI75E8O8J.html,"

International Lefthanders Day: The list of popular lefties is way too long

"
70,Times Of India,https://www.hindustantimes.com//entertainment/bollywood/when-boney-kapoor-revealed-sridevi-would-ask-about-arjun-kapoor-anshula-she-s-a-devoted-family-person-101628839833617.html,"

When Boney Kapoor revealed Sridevi would ask about Arjun-Anshula

"
71,Times Of India,https://www.hindustantimes.com//entertainment/bollywood/janhvi-kapoor-honours-mom-sridevi-on-birth-anniversary-everything-is-for-you-always-every-day-101628831021354.html,"

Janhvi Kapoor honours mom Sridevi on birth anniversary: ‘Everything is for you’

"
72,Times Of India,https://www.hindustantimes.com//entertainment/bollywood/janhvi-kapoor-asked-sridevi-the-spelling-of-her-name-she-spelt-it-wrong-too-check-out-hilarious-story-101628779224963.html,"

Janhvi asked Sridevi right spelling of her name, she spelt it wrong too

"
73,Times Of India,https://www.hindustantimes.com//brand-post/producer-mansi-bagla-drops-the-first-look-of-forensic-starring-vikrant-radhika-101627575473669.html,"

Producer Mansi Bagla drops the first look of Forensic starring Vikrant & Radhika

"
